season,week,game_id,home_team,away_team,point_diff,off_yards_gained_h,off_yards_gained_a,off_pass_yards_h,off_pass_yards_a,off_rush_yards_h,off_rush_yards_a,off_turnovers_h,off_turnovers_a,off_touchdowns_h,off_touchdowns_a,off_epa_per_play_h,off_epa_per_play_a,def_epa_per_play_h,def_epa_per_play_a,off_wpa_h,off_wpa_a,def_wpa_h,def_wpa_a,off_cpoe_h,off_cpoe_a,off_success_rate_h,off_success_rate_a,off_qb_epa_h,off_qb_epa_a,def_sacks_h,def_sacks_a,def_qb_hits_h,def_qb_hits_a,off_red_zone_td_rate_h,off_red_zone_td_rate_a,off_third_down_conv_rate_h,off_third_down_conv_rate_a,off_fourth_down_conv_rate_h,off_fourth_down_conv_rate_a,off_first_downs_h,off_first_downs_a,off_pass_rate_h,off_pass_rate_a,off_shotgun_rate_h,off_shotgun_rate_a,off_no_huddle_rate_h,off_no_huddle_rate_a,timeouts_remaining_h,timeouts_remaining_a,score_differential_pre,total_plays,first_half_plays,second_half_plays,overtime_plays,roof,surface,home_win,away_wins,tie_flag,home_team_wins_10season,away_team_wins_10season,ties_10season,home_win_streak_last_3,home_losing_streak_last_3,home_points_scored_last_3,home_points_allowed_last_3,home_wins_to_date,home_losses_to_date,home_ties_to_date,away_win_streak_last_3,away_losing_streak_last_3,away_points_scored_last_3,away_points_allowed_last_3,away_wins_to_date,away_losses_to_date,away_ties_to_date,same_conference,same_division,special_game,gameday,gametime,spread_line,total_line,outdoor_game
2024,1,2024_01_MIN_NYG,NYG,MIN,-22.0,240.0,312.0,177.0,204.0,63.0,109.0,201.0,187.0,1.0,3.0,-0.235,0.094,0.094,-0.235,-0.297,0.249,0.249,-0.297,-10.656,16.7,0.382,0.463,-20.879,8.908,1.0,5.0,2.0,12.0,0.0,0.001,0.08,0.045,0.011,0.015,14.0,17.0,0.573,0.412,0.618,0.368,0.09,0.088,1.0,0.0,-2.624,166,80,86,0,outdoors,fieldturf,0,1,0,0,4,0,1.0,2.0,25.667,23.0,0.0,0.0,0.0,0.0,3.0,18.0,31.0,0.0,0.0,0.0,True,False,False,2024-09-08,13:00,-1.0,42.5,True
2024,1,2024_01_NE_CIN,CIN,NE,-6.0,224.0,290.0,167.0,154.0,57.0,138.0,202.0,187.0,1.0,1.0,-0.038,0.078,0.078,-0.038,-0.165,0.361,0.361,-0.165,-0.097,1.133,0.492,0.494,4.254,6.3,1.0,3.0,7.0,3.0,0.0,0.0,0.067,0.076,0.0,0.0,13.0,17.0,0.623,0.354,0.77,0.39,0.066,0.024,0.0,3.0,-0.322,153,76,77,0,outdoors,fieldturf,0,1,0,1,3,0,1.0,2.0,19.667,24.333,0.0,0.0,0.0,1.0,2.0,16.667,22.333,0.0,0.0,0.0,True,False,False,2024-09-08,13:00,8.0,40.5,True
2024,1,2024_01_NYJ_SF,SF,NYJ,13.0,401.0,266.0,232.0,205.0,170.0,62.0,201.0,187.0,2.0,3.0,0.174,-0.003,-0.003,0.174,0.283,-0.129,-0.129,0.283,1.224,-2.067,0.5,0.484,15.303,4.785,1.0,3.0,4.0,4.0,0.001,0.001,0.07,0.094,0.0,0.0,24.0,14.0,0.393,0.5,0.382,0.5,0.011,0.172,2.0,1.0,-0.288,162,82,80,0,outdoors,grass,1,0,0,1,1,0,1.0,2.0,22.0,21.333,0.0,0.0,0.0,2.0,1.0,22.333,22.667,0.0,0.0,0.0,False,False,False,2024-09-09,20:15,3.5,43.0,True
2024,1,2024_01_PIT_ATL,ATL,PIT,-8.0,226.0,270.0,137.0,164.0,89.0,106.0,202.0,186.0,1.0,0.0,-0.243,-0.041,-0.041,-0.243,-0.49,0.056,0.056,-0.49,-1.985,4.856,0.478,0.429,-16.768,-3.407,2.0,2.0,4.0,7.0,0.0,0.0,0.029,0.096,0.015,0.0,15.0,16.0,0.457,0.381,0.771,0.417,0.157,0.167,0.0,0.0,-0.468,166,81,85,0,closed,fieldturf,0,1,0,0,3,0,1.0,2.0,21.0,31.667,0.0,0.0,0.0,3.0,0.0,27.0,14.667,0.0,0.0,0.0,False,False,False,2024-09-08,13:00,4.0,43.0,False
2024,1,2024_01_TEN_CHI,CHI,TEN,7.0,150.0,244.0,82.0,125.0,70.0,119.0,202.0,187.0,0.0,4.0,-0.201,-0.278,-0.278,-0.201,-0.366,-0.79,-0.79,-0.366,-19.838,4.881,0.413,0.398,-15.09,-23.097,3.0,2.0,10.0,4.0,0.0,0.0,0.027,0.037,0.027,0.012,11.0,16.0,0.461,0.47,0.513,0.639,0.224,0.0,3.0,1.0,-0.314,166,81,85,0,outdoors,grass,1,0,0,0,2,0,2.0,1.0,24.333,16.667,0.0,0.0,0.0,1.0,2.0,16.0,22.0,0.0,0.0,0.0,False,False,False,2024-09-08,13:00,4.0,43.0,True
2024,1,2024_01_WAS_TB,TB,WAS,17.0,392.0,299.0,301.0,238.0,93.0,63.0,201.0,186.0,4.0,3.0,0.273,0.052,0.052,0.273,0.401,-0.034,-0.034,0.401,12.676,-3.183,0.556,0.5,22.109,3.823,2.0,1.0,2.0,4.0,0.001,0.001,0.114,0.027,0.0,0.014,21.0,21.0,0.439,0.486,0.439,0.716,0.0,0.392,2.0,1.0,-1.551,163,78,85,0,outdoors,grass,1,0,0,1,3,0,2.0,1.0,17.333,11.667,0.0,0.0,0.0,0.0,3.0,16.0,31.667,0.0,0.0,0.0,True,False,False,2024-09-08,16:25,4.0,42.0,True
2024,2,2024_02_ATL_PHI,PHI,ATL,-1.0,367.0,385.0,229.0,234.0,139.0,153.0,201.0,186.0,2.0,2.0,0.089,0.14,0.14,0.089,0.148,0.484,0.484,0.148,13.684,2.913,0.477,0.507,7.622,10.188,1.0,1.0,2.0,5.0,0.001,0.0,0.071,0.028,0.024,0.014,22.0,22.0,0.442,0.459,0.733,0.405,0.163,0.149,0.0,0.0,-1.656,173,83,90,0,outdoors,grass,0,1,0,3,2,0,1.0,2.0,25.0,30.333,1.0,0.0,0.0,0.0,3.0,14.667,34.333,0.0,1.0,0.0,True,False,False,2024-09-16,20:15,5.5,46.5,True
2024,2,2024_02_BUF_MIA,MIA,BUF,-21.0,351.0,247.0,233.0,142.0,118.0,108.0,201.0,186.0,2.0,3.0,-0.236,0.113,0.113,-0.236,-0.313,0.242,0.242,-0.313,0.469,4.198,0.472,0.417,-20.962,6.799,0.0,2.0,0.0,5.0,0.0,0.001,0.079,0.052,0.011,0.017,20.0,12.0,0.494,0.328,0.82,0.344,0.022,0.049,1.0,0.0,-3.86,163,92,71,0,outdoors,grass,0,1,0,5,15,0,1.0,2.0,17.667,31.333,1.0,0.0,0.0,3.0,0.0,27.333,21.0,1.0,0.0,0.0,True,True,False,2024-09-12,20:15,2.5,48.5,True
2024,2,2024_02_CHI_HOU,HOU,CHI,6.0,310.0,205.0,235.0,178.0,76.0,27.0,202.0,186.0,1.0,1.0,-0.061,-0.13,-0.13,-0.061,0.153,-0.292,-0.292,0.153,-3.27,-1.298,0.39,0.4,-5.029,-11.688,7.0,3.0,10.0,4.0,0.0,0.0,0.05,0.067,0.012,0.011,15.0,15.0,0.482,0.578,0.494,0.722,0.012,0.211,3.0,0.0,-1.387,181,86,95,0,closed,astroturf,1,0,0,1,2,0,3.0,0.0,26.0,16.333,1.0,0.0,0.0,2.0,1.0,23.333,17.0,1.0,0.0,0.0,False,False,False,2024-09-15,20:20,6.0,45.5,False
2024,2,2024_02_CIN_KC,KC,CIN,1.0,286.0,320.0,166.0,253.0,120.0,67.0,202.0,187.0,2.0,3.0,-0.006,0.055,0.055,-0.006,0.438,0.005,0.005,0.438,4.609,4.934,0.538,0.519,-0.485,4.45,3.0,2.0,6.0,4.0,0.0,0.001,0.013,0.051,0.026,0.025,19.0,18.0,0.468,0.543,0.608,0.58,0.025,0.0,1.0,0.0,-1.569,173,92,81,0,outdoors,grass,1,0,0,2,3,0,3.0,0.0,21.667,16.333,1.0,0.0,0.0,1.0,2.0,19.333,18.333,0.0,1.0,0.0,True,False,False,2024-09-15,16:25,6.5,47.5,True
